Time,Value
1683760233000,695
1683760928000,695
1683761625000,696
1683762321000,696
1683763020000,699
1683763718000,697
1683764412000,694
1683765108000,695
1683765806000,697
1683766505000,699
1683767202000,696
1683767901000,698
1683768598000,697
1683769299000,700
1683769997000,698
1683770695000,697
1683771394000,698
1683772091000,697
1683772789000,697
1683773491000,702
1683774189000,697
1683774931000,742
1683775676000,745
1683776422000,745
1683777172000,750
1683777916000,744
1683778661000,744
1683779408000,747
1683780152000,743
1683780900000,748
1683781647000,746
1683782391000,744
1683783136000,745
1683783883000,746
1683784630000,747
1683785376000,745
1683786123000,747
1683786869000,746
1683787616000,746
1683788365000,749
1683789110000,745
1683789859000,748
1683790603000,744
1683791349000,745
1683792100000,750
1683792846000,745
1683793591000,745
1683794340000,748
